List of Securities,,,,,,,,,,,,,,,,,,,,
Updated as at 06/03/2023,,,,,,,,,,,,,,,,,,,,
Stock Code,Name of Securities,Category,Sub-Category,Board Lot,Par Value,ISIN,Expiry Date,Subject to Stamp Duty,Shortsell Eligible,CAS Eligible,VCM Eligible,Admitted to Stock Options,Admitted to Stock Futures,Admitted to CCASS,ETF / Fund Manager,Debt Securities Board Lot (Nominal),Debt Securities Investor Type,POS Eligble,"Spread Table
1, 4 = Part A
3 = Part B
5 = Part D",
00046,COMPUTER & TECH,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG2335C1082,,Y, ,Y, , , ,Y,,,,Y,1 ,
00048,C AUTO INT DECO,Equity,Equity Securities (Main Board),"10,000",HKD 0.0250,KYG211351500,,Y, ,Y, , , ,Y,,,,Y,1 ,
00050,HK FERRY (HOLD),Equity,Equity Securities (Main Board),"1,000", ,HK0050000345,,Y,Y,Y, , , ,Y,,,,Y,1 ,
00051,HARBOUR CENTRE,Equity,Equity Securities (Main Board),"1,000", ,HK0051000351,,Y, ,Y, , , ,Y,,,,Y,1 ,
00052,FAIRWOOD HOLD,Equity,Equity Securities (Main Board),500,HKD 1.0000,BMG3305Y1619,,Y, ,Y, , , ,Y,,,,Y,1 ,
00053,GUOCO GROUP,Equity,Equity Securities (Main Board),"1,000",USD 0.5000,BMG420981224,,Y,Y,Y, , , ,Y,,,,Y,1 ,
00055,NEWAY GROUP,Equity,Equity Securities (Main Board),"10,000",HKD 0.0100,BMG6433R1319,,Y, ,Y, , , ,Y,,,,Y,1 ,
00057,CHEN HSONG HOLD,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG208741063,,Y, ,Y, , , ,Y,,,,Y,1 ,
00058,SUNWAY INT'L,Equity,Equity Securities (Main Board),"20,000",HKD 0.1000,BMG858331389,,Y, ,Y, , , ,Y,,,,Y,1 ,
00059,SKYFAME REALTY,Equity,Equity Securities (Main Board),"2,000",HKD 0.003333333333,BMG8220B1476,,Y, ,Y,Y, , ,Y,,,,Y,1 ,
00060,HK FOOD INV,Equity,Equity Securities (Main Board),"2,000", ,HK0060028229,,Y, ,Y, , , ,Y,,,,Y,1 ,
00061,GREEN LEADER,Equity,Equity Securities (Main Board),"20,000",HKD 0.0010,BMG4165P1187,,Y, ,Y, , , ,Y,,,,Y,1 ,
00062,TRANSPORT INT'L,Equity,Equity Securities (Main Board),400,HKD 1.0000,BMG9031M1082,,Y,Y,Y, , , ,Y,,,,Y,1 ,
00063,CHI ASIA VALLEY,Equity,Equity Securities (Main Board),"1,000",HKD 0.0500,BMG2123P1059,,Y, ,Y, , , ,Y,,,,Y,1 ,
00064,GET NICE,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,KYG3926K1031,,Y, ,Y, , , ,Y,,,,Y,1 ,
00065,GRAND OCEAN AR,Equity,Equity Securities (Main Board),"4,000",HKD 0.0100,KYG4065F1037,,Y, ,Y, , , ,Y,,,,Y,1 ,
00066,MTR CORPORATION,Equity,Equity Securities (Main Board),500, ,HK0066009694,,Y,Y,Y,Y,Y,Y,Y,,,,Y,1 ,
00069,SHANGRI-LA ASIA,Equity,Equity Securities (Main Board),"2,000",HKD 1.0000,BMG8063F1068,,Y,Y,Y, , , ,Y,,,,Y,1 ,
00070,RICH GOLDMAN,Equity,Equity Securities (Main Board),"10,000", ,HK0000295763,,Y, ,Y, , , ,Y,,,,Y,1 ,
00071,MIRAMAR HOTEL,Equity,Equity Securities (Main Board),"1,000", ,HK0071000456,,Y,Y,Y, , , ,Y,,,,Y,1 ,
00072,META MEDIA,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,KYG618251089,,Y, ,Y, , , ,Y,,,,Y,1 ,
00073,ASIAN CITRUS,Equity,Equity Securities (Main Board),"1,000",HKD 0.0100,BMG0620W2019,,Y, ,Y, , , ,Y,,,,Y,1 ,
00075,Y.T. REALTY,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG987731079,,Y, ,Y, , , ,Y,,,,Y,1 ,
00076,ELATE HOLDINGS,Equity,Equity Securities (Main Board),"4,000", ,HK0000900701,,Y, ,Y, , , ,Y,,,,Y,1 ,
00077,AMS TRANSPORT,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,KYG041561088,,Y, ,Y, , , ,Y,,,,Y,1 ,
00078,REGAL INT'L,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG7475M1626,,Y, ,Y, , , ,Y,,,,Y,1 ,
00079,CENTURY LEGEND,Equity,Equity Securities (Main Board),"4,000",HKD 0.2000,BMG2021N1609,,Y, ,Y, , , ,Y,,,,Y,1 ,
00080,CNEWECON FUND,Equity,Investment Companies,"10,000",HKD 0.0400,KYG211971687,,Y, ,Y, , , ,Y,,,,Y,1 ,
00081,CH OVS G OCEANS,Equity,Equity Securities (Main Board),"1,000", ,HK0000065737,,Y,Y,Y,Y, , ,Y,,,,Y,1 ,
00082,CRAZY SPORTS,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,BMG249551091,,Y, ,Y, , , ,Y,,,,Y,1 ,
00083,SINO LAND,Equity,Equity Securities (Main Board),"2,000", ,HK0083000502,,Y,Y,Y,Y, , ,Y,,,,Y,1 ,
00084,STELUX HOLDINGS,Equity,Equity Securities (Main Board),"1,000",HKD 0.1000,BMG8465C1073,,Y, ,Y, , , ,Y,,,,Y,1 ,
00085,CE HUADA TECH,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,BMG2122L1054,,Y, ,Y, , , ,Y,,,,Y,1 ,
00086,SUN HUNG KAI CO,Equity,Equity Securities (Main Board),"1,000", ,HK0086000525,,Y,Y,Y,Y, , ,Y,,,,Y,1 ,
00087,SWIRE PACIFIC B,Equity,Equity Securities (Main Board),"2,500", ,HK0087000532,,Y,Y,Y, , , ,Y,,,,Y,1 ,
00088,TAI CHEUNG HOLD,Equity,Equity Securities (Main Board),"1,000",HKD 0.1000,BMG8659B1054,,Y,Y,Y, , , ,Y,,,,Y,1 ,
00089,TAI SANG LAND,Equity,Equity Securities (Main Board),"1,000", ,HK0089000548,,Y, ,Y, , , ,Y,,,,Y,1 ,
00090,PUXING ENERGY,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,KYG730761049,,Y, ,Y, , , ,Y,,,,Y,1 ,
00091,GOLDEN CEN INTL,Equity,Equity Securities (Main Board),"10,000", ,HK0000434156,,Y, ,Y, , , ,Y,,,,Y,1 ,
00092,CHAMPION TECH,Equity,Equity Securities (Main Board),"24,000",HKD 0.0100,BMG2033C2853,,Y, ,Y, , , ,Y,,,,Y,1 ,
00093,TERMBRAY IND,Equity,Equity Securities (Main Board),"2,000",HKD 0.0800,BMG8760C1414,,Y, ,Y, , , ,Y,,,,Y,1 ,
00094,GREENHEART GP,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,BMG4094L1054,,Y, ,Y, , , ,Y,,,,Y,1 ,
00095,LVGEM CHINA,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,KYG5727E1035,,Y, ,Y,Y, , ,Y,,,,Y,1 ,
00096,YUSEI,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,KYG9883K1013,,Y, ,Y, , , ,Y,,,,Y,1 ,
00097,HENDERSON INV,Equity,Equity Securities (Main Board),"1,000", ,HK0097000571,,Y, ,Y, , , ,Y,,,,Y,1 ,
00098,XINGFA ALUM,Equity,Equity Securities (Main Board),"1,000",HKD 0.0100,KYG9828C1078,,Y, ,Y, , , ,Y,,,,Y,1 ,
00099,WONG'S INT'L,Equity,Equity Securities (Main Board),"1,000",HKD 0.1000,BMG9738G1078,,Y, ,Y, , , ,Y,,,,Y,1 ,
00101,HANG LUNG PPT,Equity,Equity Securities (Main Board),"1,000", ,HK0101000591,,Y,Y,Y,Y, , ,Y,,,,Y,1 ,
00102,SUMMIT ASCENT,Equity,Equity Securities (Main Board),"4,000",HKD 0.0250,BMG8565U1302,,Y, ,Y, , , ,Y,,,,Y,1 ,
00103,SHOUGANG CENT,Equity,Equity Securities (Main Board),"2,000", ,HK0103000607,,Y, ,Y, , , ,Y,,,,Y,1 ,
00104,ASIA COMM HOLD,Equity,Equity Securities (Main Board),"5,000",HKD 0.2000,BMG0532V2009,,Y, ,Y, , , ,Y,,,,Y,1 ,
00105,ASSO INT HOTELS,Equity,Equity Securities (Main Board),"2,000", ,HK0105000613,,Y,Y,Y, , , ,Y,,,,Y,1 ,
00106,LANDSEA MGMT,Equity,Equity Securities (Main Board),"4,000",HKD 0.0100,BMG5370A1018,,Y, ,Y, , , ,Y,,,,Y,1 ,
00107,SICHUAN EXPRESS,Equity,Equity Securities (Main Board),"2,000",RMB 1.0000,CNE100000494,,Y,Y,Y, , , ,Y,,,,Y,1 ,
00108,GR PROPERTIES,Equity,Equity Securities (Main Board),"2,000", ,HK0108000628,,Y, ,Y, , , ,Y,,,,Y,1 ,
00110,CHINA FORTUNE,Equity,Equity Securities (Main Board),"4,000",HKD 0.0100,BMG2154Z1216,,Y, ,Y, , , ,Y,,,,Y,1 ,
00111,CINDA INTL HLDG,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG2143M1082,,Y, ,Y, , , ,Y,,,,Y,1 ,
00113,DICKSON CONCEPT,Equity,Equity Securities (Main Board),500,HKD 0.3000,BMG275871231,,Y, ,Y, , , ,Y,,,,Y,1 ,
00114,HERALD HOLD,Equity,Equity Securities (Main Board),"5,000",USD 0.0100,BMG4410A1062,,Y, ,Y, , , ,Y,,,,Y,1 ,
00115,GRAND FIELD GP,Equity,Equity Securities (Main Board),"10,000",HKD 0.0100,BMG4054H1694,,Y, ,Y, , , ,Y,,,,Y,1 ,
00116,CHOW SANG SANG,Equity,Equity Securities (Main Board),"1,000",HKD 0.2500,BMG2113M1203,,Y,Y,Y,Y, , ,Y,,,,Y,1 ,
00117,TIANLI HOLDINGS,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,KYG8884H1092,,Y, ,Y, , , ,Y,,,,Y,1 ,
00118,COSMOS MACH,Equity,Equity Securities (Main Board),"2,000", ,HK0118000667,,Y, ,Y, , , ,Y,,,,Y,1 ,
00119,POLY PROPERTY,Equity,Equity Securities (Main Board),"1,000", ,HK0119000674,,Y,Y,Y,Y, , ,Y,,,,Y,1 ,
00120,COSMOPOL INT'L,Equity,Equity Securities (Main Board),"2,000",HKD 0.0020,KYG2445L1547,,Y,Y,Y, , , ,Y,,,,Y,1 ,
00122,CROCODILE,Equity,Equity Securities (Main Board),"1,000", ,HK0122000687,,Y, ,Y, , , ,Y,,,,Y,1 ,
00123,YUEXIU PROPERTY,Equity,Equity Securities (Main Board),"1,000", ,HK0000745908,,Y,Y,Y,Y, , ,Y,,,,Y,1 ,
00124,GD LAND,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG4182K1009,,Y, ,Y, , , ,Y,,,,Y,1 ,
00125,SUN HING VISION,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG8572F1005,,Y, ,Y, , , ,Y,,,,Y,1 ,
00126,CARRIANNA,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG1993G1042,,Y, ,Y, , , ,Y,,,,Y,1 ,
00127,CHINESE EST H,Equity,Equity Securities (Main Board),500,HKD 0.1000,BMG2108M2182,,Y, ,Y, , , ,Y,,,,Y,1 ,
00128,ENM HOLDINGS,Equity,Equity Securities (Main Board),"4,000", ,HK0128011282,,Y, ,Y, , , ,Y,,,,Y,1 ,
00129,ASIA STANDARD,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,BMG0533U2355,,Y, ,Y, , , ,Y,,,,Y,1 ,
00130,MOISELLE INT'L,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,KYG618641073,,Y, ,Y, , , ,Y,,,,Y,1 ,
00131,CHEUK NANG HOLD,Equity,Equity Securities (Main Board),"1,000", ,HK0131037993,,Y, ,Y, , , ,Y,,,,Y,1 ,
00132,CHINA INV HOLD,Equity,Equity Securities (Main Board),"1,000",HKD 0.1000,BMG210751092,,Y, ,Y, , , ,Y,,,,Y,1 ,
00133,CHINA MERCHANTS,Equity,Investment Companies,"2,000", ,HK0133000726,,Y, ,Y, , , ,Y,,,,Y,1 ,
00135,KUNLUN ENERGY,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,BMG5320C1082,,Y,Y,Y,Y,Y, ,Y,,,,Y,1 ,
00136,CHINA RUYI,Equity,Equity Securities (Main Board),"4,000",HKD 0.0200,            ,,Y,Y,Y,Y, , ,Y,,,,Y,1 ,
00137,JINHUI HOLDINGS,Equity,Equity Securities (Main Board),"1,000", ,HK0137031065,,Y, ,Y, , , ,Y,,,,Y,1 ,
00138,CCT FORTIS,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG1987Y1030,,Y, ,Y, , , ,Y,,,,Y,1 ,
00139,CENTRALWEALTHGP,Equity,Equity Securities (Main Board),"14,000",HKD 0.0100,            ,,Y, ,Y, , , ,Y,,,,Y,1 ,
00141,SKYCHINAFORTUNE,Equity,Equity Securities (Main Board),"2,000", ,HK0141000759,,Y, ,Y, , , ,Y,,,,Y,1 ,
00142,FIRST PACIFIC,Equity,Equity Securities (Main Board),"2,000",USD 0.0100,BMG348041077,,Y,Y,Y,Y, , ,Y,,,,Y,1 ,
00144,CHINA MER PORT,Equity,Equity Securities (Main Board),"2,000", ,HK0144000764,,Y,Y,Y,Y, , ,Y,,,,Y,1 ,
00145,CCIAM FUTURE EN,Equity,Equity Securities (Main Board),"8,000", ,HK0000643319,,Y, ,Y, , , ,Y,,,,Y,1 ,
00146,TAI PING CARPET,Equity,Equity Securities (Main Board),"1,000",HKD 0.1000,BMG8659F1068,,Y, ,Y, , , ,Y,,,,Y,1 ,
00147,IB SETTLEMENT,Equity,Equity Securities (Main Board),"5,000",HKD 0.0010,BMG4824K1045,,Y, ,Y, , , ,Y,,,,Y,1 ,
00148,KINGBOARD HLDG,Equity,Equity Securities (Main Board),500,HKD 0.1000,KYG525621408,,Y,Y,Y,Y, , ,Y,,,,Y,1 ,
00149,CH AGRI-PROD EX,Equity,Equity Securities (Main Board),"5,000",HKD 0.0100,BMG2150P2343,,Y, ,Y, , , ,Y,,,,Y,1 ,
00150,HYPEBEAST,Equity,Equity Securities (Main Board),"2,800",HKD 0.0100,KYG468321040,,Y, ,Y, , , ,Y,,,,Y,1 ,
00151,WANT WANT CHINA,Equity,Equity Securities (Main Board),"1,000",USD 0.0200,KYG9431R1039,,Y,Y,Y,Y,Y, ,Y,,,,Y,1 ,
00152,SHENZHEN INT'L,Equity,Equity Securities (Main Board),500,HKD 1.0000,BMG8086V1467,,Y,Y,Y,Y, , ,Y,,,,Y,1 ,
00154,BE ENVIRONMENT,Equity,Equity Securities (Main Board),"1,000", ,HK0154000803,,Y, ,Y, , , ,Y,,,,Y,1 ,
00156,LIPPO CHINA RES,Equity,Equity Securities (Main Board),"10,000", ,HK0156000819,,Y, ,Y, , , ,Y,,,,Y,1 ,
00157,NATURAL BEAUTY,Equity,Equity Securities (Main Board),"10,000",HKD 0.1000,KYG640061027,,Y, ,Y, , , ,Y,,,,Y,1 ,
00158,MELBOURNE ENT,Equity,Equity Securities (Main Board),500, ,HK0158000825,,Y, ,Y, , , ,Y,,,,Y,1 ,
00159,BROCKMAN MINING,Equity,Equity Securities (Main Board),"4,000",HKD 0.1000,BMG1739E1084,,Y, ,Y, , , ,Y,,,,Y,1 ,
00160,HON KWOK LAND,Equity,Equity Securities (Main Board),"2,000", ,HK0160011786,,Y, ,Y, , , ,Y,,,,Y,1 ,
00162,CENTURY GINWA,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG2021K1172,,Y, ,Y, , , ,Y,,,,Y,1 ,
00163,EMPEROR INT'L,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,BMG3036C2239,,Y, ,Y, , , ,Y,,,,Y,1 ,
00164,CHINA BAOLI TEC,Equity,Equity Securities (Main Board),"5,000",HKD 0.0100,BMG2119D1323,,Y, ,Y, , , ,Y,,,,Y,1 ,
00165,CHINA EB LTD,Equity,Equity Securities (Main Board),"2,000", ,HK0165000859,,Y,Y,Y,Y, , ,Y,,,,Y,1 ,
00166,NEWTIMES ENERGY,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,BMG6488Q1454,,Y, ,Y, , , ,Y,,,,Y,1 ,
00167,IDT INT'L,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG4705P1077,,Y, ,Y, , , ,Y,,,,Y,1 ,
00168,TSINGTAO BREW,Equity,Equity Securities (Main Board),"2,000",RMB 1.0000,CNE1000004K1,,Y,Y,Y,Y, , ,Y,,,,Y,1 ,
00169,WANDA HOTEL DEV,Equity,Equity Securities (Main Board),"1,000",HKD 0.1000,BMG9430N1039,,Y, ,Y, , , ,Y,,,,Y,1 ,
00171,SILVER GRANT,Equity,Equity Securities (Main Board),"2,000", ,HK0171000877,,Y, ,Y, , , ,Y,,,,Y,1 ,
00173,K. WAH INT'L,Equity,Equity Securities (Main Board),"1,000",HKD 0.1000,BMG5321P1169,,Y,Y,Y,Y, , ,Y,,,,Y,1 ,
00174,GEMINI INV,Equity,Equity Securities (Main Board),"2,000", ,HK0174000890,,Y, ,Y, , , ,Y,,,,Y,1 ,
00175,GEELY AUTO,Equity,Equity Securities (Main Board),"1,000",HKD 0.0200,KYG3777B1032,,Y,Y,Y,Y,Y,Y,Y,,,,Y,1 ,
00176,SUPERACTIVE GP,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG8587Y1021,,Y, ,Y, , , ,Y,,,,Y,1 ,
00177,JIANGSU EXPRESS,Equity,Equity Securities (Main Board),"2,000",RMB 1.0000,CNE1000003J5,,Y,Y,Y,Y, , ,Y,,,,Y,1 ,
00178,SA SA INT'L,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,KYG7814S1021,,Y, ,Y, , , ,Y,,,,Y,1 ,
00179,JOHNSON ELEC H,Equity,Equity Securities (Main Board),500,HKD 0.0500,BMG5150J1577,,Y,Y,Y,Y, , ,Y,,,,Y,1 ,
00180,KADER HOLDINGS,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG5206W1038,,Y, ,Y, , , ,Y,,,,Y,1 ,
00181,FUJIAN HOLDINGS,Equity,Equity Securities (Main Board),"20,000", ,HK0181013399,,Y, ,Y, , , ,Y,,,,Y,1 ,
00182,CONCORD NE,Equity,Equity Securities (Main Board),"10,000",HKD 0.0100,BMG2345T1099,,Y,Y,Y, , , ,Y,,,,Y,1 ,
00183,WINFULL GP,Equity,Equity Securities (Main Board),"8,000",HKD 0.1000,KYG9704H1130,,Y, ,Y, , , ,Y,,,,Y,1 ,
00184,KECK SENG INV,Equity,Equity Securities (Main Board),"2,000", ,HK0184000948,,Y, ,Y, , , ,Y,,,,Y,1 ,
00185,ZENSUN ENT,Equity,Equity Securities (Main Board),"1,000", ,HK0000769783,,Y, ,Y,Y, , ,Y,,,,Y,1 ,
00186,NIMBLE HOLDINGS,Equity,Equity Securities (Main Board),"30,000",HKD 0.0100,BMG652161065,,Y, ,Y, , , ,Y,,,,Y,1 ,
00187,JINGCHENG MAC,Equity,Equity Securities (Main Board),"2,000",RMB 1.0000,CNE100000270,,Y, ,Y, , , ,Y,,,,Y,1 ,
00188,SUNWAH KINGSWAY,Equity,Equity Securities (Main Board),"5,000",HKD 0.1000,BMG8587P1196,,Y, ,Y, , , ,Y,,,,Y,1 ,
00189,DONGYUE GROUP,Equity,Equity Securities (Main Board),"1,000",HKD 0.1000,KYG2816P1072,,Y,Y,Y,Y, , ,Y,,,,Y,1 ,
00191,LAI SUN INT'L,Equity,Equity Securities (Main Board),"1,000", ,HK0000356805,,Y, ,Y, , , ,Y,,,,Y,1 ,
00193,CAPITAL ESTATE,Equity,Equity Securities (Main Board),"3,000", ,HK0000489689,,Y, ,Y, , , ,Y,,,,Y,1 ,
00194,LIU CHONG HING,Equity,Equity Securities (Main Board),"2,000", ,HK0194000995,,Y,Y,Y, , , ,Y,,,,Y,1 ,
00195,GREENTECH INTL,Equity,Equity Securities (Main Board),"2,000",HKD 0.0250,KYG4100V1133,,Y, ,Y, , , ,Y,,,,Y,1 ,
00196,HONGHUA GROUP,Equity,Equity Securities (Main Board),"1,000",HKD 0.1000,KYG4584R1092,,Y, ,Y, , , ,Y,,,,Y,1 ,
00197,HENG TAI,Equity,Equity Securities (Main Board),"5,000",HKD 0.1000,KYG440351149,,Y, ,Y, , , ,Y,,,,Y,1 ,
00199,ITC PROPERTIES,Equity,Equity Securities (Main Board),"1,000",HKD 0.0100,BMG4984N1618,,Y, ,Y, , , ,Y,,,,Y,1 ,
00200,MELCO INT'L DEV,Equity,Equity Securities (Main Board),"1,000", ,HK0200030994,,Y,Y,Y,Y, , ,Y,,,,Y,1 ,
00201,MAGNIFICENT,Equity,Equity Securities (Main Board),"2,000", ,HK0201008726,,Y, ,Y, , , ,Y,,,,Y,1 ,
00202,EVERCHINA INT'L,Equity,Equity Securities (Main Board),"5,000", ,HK0000062734,,Y, ,Y, , , ,Y,,,,Y,1 ,
